Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AMD,Adv Micro Devices,30.89,-1.7,-5.22%,32.78,29.98,165453406,09/28/18
IGC,India Globalization Capital Inc,6.45,1.85,+40.22%,7.48,5.35,104031700,09/28/18
GE,General Electric Company,11.29,-0.24,-2.08%,11.51,11.25,76574000,09/28/18
BAC,Bank of America Corp,29.46,-0.48,-1.60%,29.85,29.42,74707602,09/28/18
NBEV,New Age Beverages Corp,5.35,1.26,+30.81%,5.72,4.23,49238199,09/28/18
INTC,Intel Corp,47.29,1.41,+3.07%,47.75,45.46,46223402,09/28/18
MPC,Marathon Petroleum Corp,79.97,-3.07,-3.70%,83,79.97,39153699,09/28/18
AMRN,Amarin Corp Ads,16.27,2.44,+17.64%,16.34,13.92,38236602,09/28/18
FB,Facebook Inc,164.46,-4.38,-2.59%,168.79,162.56,34265602,09/28/18
SIRI,Sirius XM Holdings I,6.32,-0.04,-0.63%,6.4,6.31,33966602,09/28/18
TSLA,Tesla Inc,264.77,-42.75,-13.90%,278,260.55,33649602,09/28/18
SNAP,Snap Inc,8.48,-0.32,-3.64%,8.78,8.4,31800398,09/28/18
BB,Blackberry Ltd,11.38,1.19,+11.68%,12,10.43,31223602,09/28/18
F,Ford Motor Company,9.25,0.02,+0.22%,9.28,9.09,30987199,09/28/18
PBR,Petroleo Brasileiro S.A. Petrobras,12.07,-0.16,-1.31%,12.51,12.02,29971400,09/28/18
MU,Micron Technology,45.23,0.24,+0.53%,45.61,44.49,28080398,09/28/18
SWN,Southwestern Energy Company,5.11,-0.1,-1.92%,5.23,5.07,26202801,09/28/18
ROL,Rollins Inc,60.69,1.43,+2.41%,60.78,58.62,25624600,09/28/18
VER,Vereit Inc,7.26,0.08,+1.11%,7.26,7.16,24776000,09/28/18
ANDV,Andeavor,153.5,-1.29,-0.83%,154.72,150.65,23880100,09/28/18
SYN,Synthetic Biologics Inc,2.6,0.14,+5.69%,8,2.46,23655700,09/28/18
AAPL,Apple Inc,225.74,0.79,+0.35%,225.84,224.02,22929301,09/28/18
TWTR,Twitter Inc,28.46,-0.96,-3.26%,29.28,28.41,22719602,09/28/18
T,AT&T Inc,33.58,0.16,+0.48%,33.68,33.31,22052102,09/28/18
NIO,Nio Inc,6.98,-0.03,-0.43%,7.28,6.68,21813498,09/28/18
MSFT,Microsoft Corp,114.37,-0.04,-0.03%,114.57,113.68,21647801,09/28/18
QCOM,Qualcomm Inc,72.03,0.32,+0.45%,73.26,71.25,20080801,09/28/18
BBD,Banco Bradesco S.A.,7.08,-0.2,-2.75%,7.25,7.02,19370801,09/28/18
WFC,Wells Fargo & Company,52.56,-0.26,-0.49%,52.98,52.41,18588600,09/28/18
ABX,Barrick Gold Corp,11.08,-0.05,-0.45%,11.31,11.05,18227801,09/28/18
ABEV,Ambev S.A.,4.57,-0.06,-1.30%,4.62,4.53,17859701,09/28/18
NVDA,Nvidia Corp,281.02,13.62,+5.09%,281.92,271.6,17734900,09/28/18
VALE,Vale S.A.,14.84,0,0.00%,15.13,14.76,17513000,09/28/18
RIG,Transocean Inc,13.95,0.15,+1.09%,14.3,13.61,17460199,09/28/18
CMCSA,Comcast Corp A,35.41,0.19,+0.54%,35.66,35.15,17306301,09/28/18
CNP,Centerpoint Energy Inc,27.65,0.23,+0.84%,27.76,27.48,16733199,09/28/18
ITUB,Itau Unibanco Banco Holding S.A.,10.98,-0.16,-1.44%,11.05,10.81,16362500,09/28/18
ORCL,Oracle Corp,51.56,-0.13,-0.25%,52.01,51.49,16234200,09/28/18
S,Sprint Corp,6.54,0,0.00%,6.61,6.5,16096700,09/28/18
FCX,Freeport-Mcmoran Inc,13.92,0.05,+0.36%,14.06,13.8,16080601,09/28/18
JPM,JP Morgan Chase & Co,112.84,-1.68,-1.47%,114.24,112.52,15815101,09/28/18
NOK,Nokia Corp,5.58,-0.11,-1.93%,5.61,5.55,15810900,09/28/18
CSCO,Cisco Systems Inc,48.65,0.32,+0.66%,48.8,48.06,15474400,09/28/18
CHK,Chesapeake Energy Corp,4.49,0.03,+0.67%,4.54,4.42,15293301,09/28/18
SQ,Square,99.01,1.05,+1.07%,100.39,97.07,15268199,09/28/18
KGC,Kinross Gold Corp,2.7,-0.03,-1.10%,2.8,2.69,15250801,09/28/18
MRVL,Marvell Tech Group,19.3,0.59,+3.15%,19.31,18.64,14835101,09/28/18
PFE,Pfizer Inc,44.07,0.17,+0.39%,44.14,43.72,14662699,09/28/18
KMI,Kinder Morgan,17.73,0.17,+0.97%,17.91,17.54,14474500,09/28/18
C,Citigroup Inc,71.74,-1.21,-1.66%,72.43,71.48,14341899,09/28/18
HBAN,Huntington Bcshs,14.92,-0.15,-1.00%,15.07,14.85,14197700,09/28/18
MS,Morgan Stanley,46.57,-1.2,-2.51%,47.55,46.4,14187300,09/28/18
TRQ,Turquoise Hill Resources Ltd,2.12,-0.01,-0.47%,2.15,2.1,14134600,09/28/18
NBR,Nabors Industries,6.16,0.16,+2.67%,6.23,5.93,14078001,09/28/18
CAG,Conagra Brands Inc,33.97,0.99,+3.00%,34.03,32.95,13826600,09/28/18
VNDA,Vanda Pharmaceutical,22.95,-0.05,-0.22%,23.4,22.55,13811600,09/28/18
BBBY,Bed Bath & Beyond,15,0.14,+0.94%,15.3,14.53,13793899,09/28/18
JD,Jd.com Inc Ads,26.09,0.66,+2.60%,26.23,25.3,13787500,09/28/18
RF,Regions Financial Corp,18.35,-0.19,-1.02%,18.61,18.29,13617000,09/28/18
NLY,Annaly Capital Management Inc,10.23,0.1,+0.99%,10.26,10.12,13159500,09/28/18
DWDP,Dowdupont Inc,64.31,-1.02,-1.56%,65.1,64.11,12944800,09/28/18
VZ,Verizon Communications Inc,53.39,-0.2,-0.37%,53.56,53.27,12634400,09/28/18
HPE,Hewlett Packard Enterprise Comp,16.31,0.03,+0.18%,16.43,16.17,12488000,09/28/18
ESV,Ensco Plc,8.44,-0.03,-0.35%,8.66,8.38,12286300,09/28/18
WFT,Weatherford International Ltd,2.71,-0.02,-0.73%,2.81,2.69,12181500,09/28/18
P,Pandora Media Inc,9.51,0.12,+1.28%,9.65,9.33,12057899,09/28/18
TRXC,Transenterix Inc,5.8,-0.24,-3.97%,6,5.43,11985200,09/28/18
